LSOACode,UnitaryCode,UnitaryName,GORName,GORcode,LifeSatisfaction,Worthwhile,HappyYesterday,LifeSatisfactionPercentagelow,WorthwhilePercentagelow,HappyYesterdayPercentageLow
E01000001,E13000001,Inner London,London,H,7.5,7.56,7.18,18.41,20.67,29.34
E01000002,E13000001,Inner London,London,H,7.49,7.57,7.19,18.63,20.47,29.25
E01000003,E13000001,Inner London,London,H,7.16,7.31,7.03,27.19,26.80,33.05
E01000004,E13000001,Inner London,London,H,7.42,7.49,7.17,20.33,22.20,29.97
E01000005,E13000001,Inner London,London,H,7.05,7.29,6.9,32.16,28.43,36.01
E01000006,E13000002,Outer London,London,H,7.13,7.37,7.15,31.38,25.78,33.04
E01000007,E13000002,Outer London,London,H,7.01,7.29,6.92,33.33,28.43,36.06
E01000008,E13000002,Outer London,London,H,6.94,7.21,6.83,36.40,31.39,37.84
E01000009,E13000002,Outer London,London,H,7.11,7.37,7.12,31.45,26.12,33.35
E01000010,E13000002,Outer London,London,H,7.13,7.38,7.07,29.96,25.71,33.63
E01000011,E13000002,Outer London,London,H,7.11,7.38,7.12,33.72,26.36,34.47
E01000012,E13000002,Outer London,London,H,7.07,7.33,7.03,31.73,27.02,34.29
E01000013,E13000002,Outer London,London,H,7.13,7.48,6.98,31.49,25.37,34.59
E01000014,E13000002,Outer London,London,H,7.07,7.42,6.95,32.67,26.73,35.27
E01000015,E13000002,Outer London,London,H,7.14,7.48,7,30.45,24.88,34.10
E01000016,E13000002,Outer London,London,H,7.17,7.5,7.04,30.26,24.51,33.87
E01000017,E13000002,Outer London,London,H,7.1,7.47,6.94,32.33,25.90,35.17
E01000018,E13000002,Outer London,London,H,7.14,7.49,6.99,31.04,25.03,34.50
E01000019,E13000002,Outer London,London,H,7.25,7.55,7.1,28.53,23.17,33.33
E01000020,E13000002,Outer London,London,H,7.2,7.51,7.08,29.25,23.81,33.32
E01000021,E13000002,Outer London,London,H,7.17,7.46,7.13,29.70,24.70,32.54
E01000022,E13000002,Outer London,London,H,7.24,7.52,7.14,28.60,23.20,32.98
E01000023,E13000002,Outer London,London,H,7.19,7.42,7.13,28.14,24.83,31.89
E01000024,E13000002,Outer London,London,H,7.13,7.46,7.03,32.05,25.30,34.53
E01000025,E13000002,Outer London,London,H,7.18,7.49,7.06,30.19,24.67,33.83
E01000026,E13000002,Outer London,London,H,7.09,7.43,7.06,32.20,25.21,33.74
E01000027,E13000002,Outer London,London,H,7.08,7.47,6.99,32.24,25.06,34.26
E01000028,E13000002,Outer London,London,H,6.99,7.3,6.89,34.17,28.58,36.09
E01000029,E13000002,Outer London,London,H,7.39,7.64,7.27,25.63,21.22,29.99
E01000030,E13000002,Outer London,London,H,6.86,7.24,6.8,36.99,30.71,37.92
E01000031,E13000002,Outer London,London,H,7.33,7.63,7.28,25.08,20.39,28.92
E01000032,E13000002,Outer London,London,H,7.23,7.55,7.13,28.54,22.94,32.14
E01000033,E13000002,Outer London,London,H,6.95,7.33,6.85,35.09,28.59,36.92
E01000034,E13000002,Outer London,London,H,7.14,7.5,7.02,30.95,24.52,34.20
E01000035,E13000002,Outer London,London,H,7.21,7.52,7.13,28.37,23.01,32.10
E01000036,E13000002,Outer London,London,H,7.28,7.58,7.26,26.88,21.86,30.02
E01000037,E13000002,Outer London,London,H,7.4,7.7,7.31,23.46,18.60,28.32
E01000038,E13000002,Outer London,London,H,7.3,7.61,7.2,26.53,20.95,30.72
E01000039,E13000002,Outer London,London,H,7.33,7.6,7.23,24.93,20.78,29.96
E01000040,E13000002,Outer London,London,H,6.91,7.28,6.85,35.98,29.86,37.36
E01000041,E13000002,Outer London,London,H,7.15,7.5,7,30.87,24.86,34.52
E01000042,E13000002,Outer London,London,H,6.9,7.24,6.87,35.33,30.21,37.07
E01000043,E13000002,Outer London,London,H,7.13,7.46,7.06,31.07,24.85,33.99
E01000044,E13000002,Outer London,London,H,7.17,7.45,7.2,29.37,23.95,31.71
E01000045,E13000002,Outer London,London,H,7.12,7.47,6.98,31.36,25.37,34.69
E01000046,E13000002,Outer London,London,H,7.11,7.46,6.98,31.84,25.71,34.61
E01000047,E13000002,Outer London,London,H,7.09,7.34,6.98,30.50,26.60,34.69
E01000048,E13000002,Outer London,London,H,6.91,7.2,6.82,36.74,31.49,38.12
E01000049,E13000002,Outer London,London,H,6.96,7.24,6.86,35.69,30.58,37.30
